SITE,BO95_1,BO95_2,BO95_3,BO95_4,BO95_5,BO95_6,BO95_7,BO95_8,BO95_9,BO95_10,BO95_11,BO95_12,BO96_1,BO96_2,BO96_3,BO96_4,BO96_5,BO96_6,BO96_7,BO96_8,BO96_9,BO96_10,BO96_11,BO96_12,BO97_1,BO97_2,BO97_3,BO97_4,BO97_5,BO97_6,BO97_7,BO97_8,BO97_9,BO97_10,BO97_11,BO97_12,BO98_1,BO98_2,BO98_3,BO98_4,BO98_5,BO98_6,BO98_7,BO98_8,BO98_9,BO98_10,BO98_11,BO98_12,BO99_1,BO99_2,BO99_3,BO99_4,BO99_5,BO99_6,BO99_7,BO99_8,BO99_9,BO99_10,BO99_11,BO99_12,BO00_1,BO00_2,BO00_3,BO00_4,BO00_5,BO00_6,BO00_7,BO00_8,BO00_9,BO00_10,BO00_11,BO00_12,BO01_1,BO01_2,BO01_3,BO01_4,BO01_5,BO01_6,BO01_7,BO01_8,BO01_9,BO01_10,BO01_11,BO01_12,BO02_1,BO02_2,BO02_3,BO02_4,BO02_5,BO02_6,BO02_7,BO02_8,BO02_9,BO02_10,BO02_11,BO02_12,BO03_1,BO03_2,BO03_3,BO03_4,BO03_5,BO03_6,BO03_7,BO03_8,BO03_9,BO03_10,BO03_11,BO03_12,BO04_1,BO04_2,BO04_3,BO04_4,BO04_5,BO04_6,BO04_7,BO04_8,BO04_9,BO04_10,BO04_11,BO04_12,BO05_1,BO05_2,BO05_3,BO05_4,BO05_5,BO05_6,BO05_7,BO05_8,BO05_9,BO05_10,BO05_11,BO05_12,BO06_1,BO06_2,BO06_3,BO06_4,BO06_5,BO06_6,BO06_7,BO06_8,BO06_9,BO06_10,BO06_11,BO06_12,BO07_1,BO07_2,BO07_3,BO07_4,BO07_5,BO07_6,BO07_7,BO07_8,BO07_9,BO07_10,BO07_11,BO07_12,BO08_1,BO08_2,BO08_3,BO08_4,BO08_5,BO08_6,BO08_7,BO08_8,BO08_9,BO08_10,BO08_11,BO08_12,BO09_1,BO09_2,BO09_3,BO09_4,BO09_5,BO09_6,BO09_7,BO09_8,BO09_9,BO09_10,BO09_11,BO09_12,BO10_1,BO10_2,BO10_3,BO10_4,BO10_5,BO10_6,BO10_7,BO10_8,BO10_9,BO10_10,BO10_11,BO10_12,BO11_1,BO11_2,BO11_3,BO11_4,BO11_5,BO11_6,BO11_7,BO11_8,BO11_9,BO11_10,BO11_11,BO11_12,BO12_1,BO12_2,BO12_3,BO12_4,BO12_5,BO12_6,BO12_7,BO12_8,BO12_9,BO12_10,BO12_11,BO12_12,BO13_1,BO13_2,BO13_3,BO13_4,BO13_5,BO13_6,BO13_7,BO13_8,BO13_9,BO13_10,BO13_11,BO13_12,BO14_1,BO14_2,BO14_3,BO14_4,BO14_5,BO14_6,BO14_7,BO14_8,BO14_9,BO14_10,BO14_11,BO14_12,BO15_1,BO15_2,BO15_3,BO16_1,BO16_2,BO16_3,OV15_1,OV15_2,OV15_3,OV16_1,OV16_2,OV16_3,PHAB_95,PHAB_96,PHAB_97,PHAB_98,PHAB_99,PHAB_00,PHAB_01,PHAB_02,PHAB_03,PHAB_04,PHAB_05,PHAB_06,PHAB_07,PHAB_08,PHAB_09,PHAB_10,PHAB_11,PHAB_12,PHAB_13,PHAB_14,PHAB_15
75,NA,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,1,NA,0,1,NA,1,NA,NA,NA,0,0,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,3,1,0,3,7,0.044,0.941,0.94,0.415,0.789,0.891,0.178,0.181,0.179,0.183,0.182,0.182,0.179,0.152,0.15,0.149,0.152,0.154,0.15,0.143,0.143,0.137,0.136,0.131,0.128,0.123,0.123
76,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,0,0,NA,NA,0,NA,0,1,0,0,1,0,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,0,1,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,1,NA,0,0,0,0,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,1,NA,NA,0,NA,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,1,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,1,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,1,NA,0,NA,NA,NA,NA,1,0,1,NA,NA,NA,1,NA,1,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,NA,0,3,NA,NA,NA,0.002,0.496,0.977,0,0,0,0.15,0.15,0.15,0.151,0.153,0.156,0.158,0.157,0.154,0.153,0.147,0.144,0.145,0.144,0.143,0.143,0.143,0.143,0.143,0.143,0.142
77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,1,NA,0,NA,1,NA,NA,1,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,0,NA,NA,0,0,NA,1,NA,NA,0,1,NA,1,NA,NA,1,0,0,0,NA,NA,NA,1,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,0,NA,NA,4,4,1,2,4,2,0.729,0.543,0.272,0.452,0.515,0.977,0.519,0.519,0.51,0.511,0.513,0.515,0.516,0.519,0.523,0.523,0.524,0.52,0.52,0.519,0.52,0.52,0.519,0.513,0.511,0.504,0.504
78,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,NA,NA,0,NA,1,NA,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,1,0,NA,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,0,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,0,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,0,1,NA,NA,NA,0,0,1,NA,NA,NA,NA,0,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,3,NA,2,NA,6,0,0.997,0.003,0.672,0.011,1,0.47,0.473,0.454,0.454,0.454,0.457,0.457,0.455,0.457,0.461,0.456,0.455,0.45,0.447,0.446,0.45,0.451,0.445,0.445,0.443,0.443
79,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,1,NA,1,0,NA,0,0,NA,NA,NA,1,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,1,2,0,0.871,0.646,0.003,0.871,0.791,0.118,0.119,0.123,0.12,0.12,0.116,0.116,0.109,0.11,0.107,0.109,0.105,0.103,0.101,0.102,0.102,0.103,0.098,0.098,0.098,0.097
80,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,0,0,0,NA,NA,0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,0,0,NA,NA,0,0,NA,NA,NA,0,0,0,0,1,NA,0,1,0,0,NA,0,NA,1,NA,1,NA,NA,1,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,0,NA,NA,NA,NA,1,1,NA,NA,0,2,3,2,3,4,1,0.847,1,0.425,0.393,0.888,0.897,0.43,0.433,0.434,0.436,0.438,0.445,0.459,0.47,0.482,0.494,0.487,0.47,0.465,0.458,0.45,0.446,0.436,0.429,0.429,0.429,0.429
81,NA,NA,0,NA,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA,NA,NA,0,1,1,0,0,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,1,NA,NA,NA,NA,1,NA,0,NA,NA,0,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,0,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,NA,4,6,NA,NA,NA,0,0.824,1,0,0,0,0.392,0.39,0.391,0.371,0.373,0.374,0.371,0.362,0.355,0.353,0.353,0.349,0.349,0.343,0.341,0.335,0.331,0.33,0.327,0.327,0.327
82,0,NA,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA,NA,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,1,NA,0,NA,1,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,1,NA,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,1,NA,0,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,NA,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,1,1,1,NA,0.453,0.96,0.324,0.323,0.323,0,0.365,0.365,0.365,0.364,0.366,0.361,0.364,0.365,0.366,0.369,0.369,0.371,0.369,0.367,0.365,0.362,0.361,0.356,0.356,0.356,0.356
83,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,1,1,NA,0,NA,0,0,NA,0,NA,0,NA,NA,1,NA,0,0,NA,NA,1,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,0,NA,1,NA,NA,0,1,NA,NA,0,1,NA,NA,NA,0,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,0,NA,1,1,NA,0,NA,NA,NA,0,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,1,0,0,NA,NA,1,0,NA,1,1,NA,NA,0,NA,0,1,NA,NA,0,NA,NA,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,1,NA,0,1,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,1,0,1,0,4,0.109,0.731,0.233,0.721,0.169,0.637,0.391,0.392,0.393,0.394,0.393,0.394,0.393,0.392,0.394,0.393,0.388,0.386,0.385,0.381,0.379,0.38,0.38,0.379,0.379,0.379,0.377
84,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0,NA,0,0,0,NA,NA,NA,0,NA,0,NA,1,NA,0,NA,NA,NA,1,NA,0,1,0,NA,0,NA,NA,NA,1,NA,1,0,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,0,0,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,0,0,NA,0,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,1,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,1,0,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,0,0.28,0.692,0,0,0,0.544,0.547,0.544,0.547,0.543,0.541,0.545,0.541,0.545,0.541,0.538,0.535,0.536,0.531,0.531,0.529,0.527,0.526,0.526,0.52,0.516
85,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,NA,NA,NA,NA,1,NA,0,NA,0,NA,NA,NA,0,1,0,NA,0,0,0,0,NA,0,0,1,0,NA,NA,0,NA,0,NA,0,NA,1,NA,0,NA,NA,0,NA,NA,0,1,0,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,NA,0,NA,0,NA,1,0,0,1,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,1,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,1,NA,1,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,3,1,1,2,2,0,0.554,0.415,0.927,0.415,0.692,0.399,0.402,0.392,0.391,0.397,0.398,0.396,0.393,0.392,0.395,0.391,0.39,0.389,0.387,0.385,0.385,0.387,0.38,0.38,0.38,0.38
86,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,1,0,NA,NA,0,0,0,NA,NA,0,0,1,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,1,0,NA,0,NA,0,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,0,0,0,NA,NA,0,0,NA,NA,1,NA,0,NA,NA,0,NA,NA,1,1,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,NA,NA,0,0,NA,NA,NA,NA,NA,2,1,NA,NA,NA,0,0.977,1,0,0,0,0.434,0.436,0.439,0.439,0.438,0.436,0.436,0.44,0.442,0.449,0.442,0.438,0.436,0.43,0.425,0.426,0.423,0.418,0.416,0.416,0.416
87,NA,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,1,1,0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,0,1,0,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,NA,0,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,NA,0,NA,NA,0,NA,1,NA,0,1,NA,1,NA,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,0,0,0.984,0,0,0,0.122,0.124,0.123,0.122,0.117,0.116,0.108,0.11,0.104,0.091,0.092,0.09,0.085,0.085,0.082,0.083,0.08,0.075,0.075,0.075,0.075
88,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,NA,NA,0,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,0,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,NA,5,0,0.09,0.151,0.241,0.09,0.984,0.345,0.347,0.347,0.347,0.348,0.348,0.354,0.353,0.35,0.35,0.346,0.346,0.344,0.343,0.339,0.338,0.333,0.331,0.331,0.329,0.327
89,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA,0,0,0,NA,0,0,NA,0,NA,0,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,0,0,NA,1,NA,NA,0,NA,NA,0,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,0,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,0,0,1,NA,NA,NA,0,0,2,4,2,5,1,0,0.371,0.644,0.646,0.646,0.394,0.151,0.218,0.219,0.223,0.219,0.216,0.219,0.218,0.221,0.223,0.222,0.215,0.213,0.213,0.211,0.209,0.204,0.2,0.195,0.191,0.191,0.191
90,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,1,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,0,1,NA,0,0,NA,NA,0,0,NA,1,0,0,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,0,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,6,4,NA,5,5,3,1,1,0.075,0.756,0.71,0.394,0.324,0.327,0.327,0.332,0.331,0.335,0.337,0.338,0.342,0.351,0.356,0.34,0.347,0.358,0.355,0.353,0.342,0.324,0.324,0.324,0.323
